tic,toc,method,size,elapsed
12.239,14.986,mc,4000,2.747
15.114,15.163,exact,400,0.04899999999999949
15.163,15.543000000000001,mc,400,0.3800000000000008
17.763,62.873000000000005,exact,12649,45.11
62.873000000000005,87.015,mc,12649,24.141999999999996
87.143,87.155,exact,126,0.012000000000000455
87.155,87.517,mc,126,0.36199999999999477
87.631,87.638,exact,40,0.007000000000005002
87.638,87.996,mc,40,0.3579999999999899
4.492,4.926,exact,126,0.43400000000000016
4.926,6.231,mc,126,1.3049999999999997
6.388,6.867,exact,1265,0.4790000000000001
6.868,7.49,mc,1265,0.6219999999999999
7.8260000000000005,12.335,exact,4000,4.509
12.335,15.09,mc,4000,2.754999999999999
15.22,15.228,exact,40,0.007999999999999119
15.228,15.586,mc,40,0.35800000000000054
15.699,15.748000000000001,exact,400,0.049000000000001265
15.748000000000001,16.128,mc,400,0.379999999999999
18.36,63.699,exact,12649,45.339
63.699,87.84100000000001,mc,12649,24.14200000000001
4.526,5.404,exact,1265,0.8780000000000001
5.404,7.4670000000000005,mc,1265,2.0630000000000006
7.601,7.6370000000000005,exact,126,0.036000000000000476
7.6370000000000005,8.002,mc,126,0.3650000000000002
10.223,56.284,exact,12649,46.061
56.284,80.433,mc,12649,24.149000000000008
80.77,85.205,exact,4000,4.435000000000002
85.205,87.958,mc,4000,2.753
88.09,88.14,exact,400,0.04999999999999716
88.14,88.523,mc,400,0.38299999999999557
88.637,88.643,exact,40,0.006000000000000227
88.643,89.004,mc,40,0.3610000000000042
4.723,9.613,exact,4000,4.89
9.613,13.9,mc,4000,4.287000000000001
14.038,14.073,exact,40,0.03500000000000014
14.074,14.433,mc,40,0.359
14.557,14.568,exact,126,0.010999999999999233
14.568,14.931000000000001,mc,126,0.3630000000000013
17.157,63.428000000000004,exact,12649,46.271
63.429,87.572,mc,12649,24.143
87.71900000000001,88.171,exact,1265,0.4519999999999982
88.171,88.758,mc,1265,0.5869999999999891
88.88,88.933,exact,400,0.05300000000001148
88.933,89.31400000000001,mc,400,0.3810000000000002
4.5600000000000005,5.44,exact,1265,0.8799999999999999
5.44,7.5,mc,1265,2.0599999999999996
7.638,7.714,exact,400,0.07600000000000051
7.714,8.097,mc,400,0.3829999999999991
8.414,12.925,exact,4000,4.511000000000001
12.925,15.676,mc,4000,2.7509999999999994
17.919,63.643,exact,12649,45.724000000000004
63.643,87.793,mc,12649,24.150000000000006
87.921,87.933,exact,126,0.012000000000000455
87.933,88.296,mc,126,0.36299999999999955
88.41,88.417,exact,40,0.007000000000005002
88.417,88.776,mc,40,0.35899999999999466
4.772,9.639,exact,4000,4.866999999999999
9.639,13.916,mc,4000,4.277000000000001
14.053,14.085,exact,40,0.03200000000000003
14.085,14.446,mc,40,0.3609999999999989
14.579,15.029,exact,1265,0.4499999999999993
15.029,15.629,mc,1265,0.5999999999999996
15.762,15.82,exact,400,0.05799999999999983
15.82,16.215,mc,400,0.3949999999999996
18.84,76.66,exact,12649,57.81999999999999
76.66,100.802,mc,12649,24.14200000000001
100.929,100.941,exact,126,0.012000000000000455
100.941,101.303,mc,126,0.36199999999999477
4.444,4.872,exact,40,0.42799999999999994
4.872,6.15,mc,40,1.2780000000000005
6.2700000000000005,6.3500000000000005,exact,400,0.08000000000000007
6.3500000000000005,6.748,mc,400,0.3979999999999997
7.073,11.568,exact,4000,4.494999999999999
11.569,14.313,mc,4000,2.7439999999999998
14.442,14.452,exact,126,0.009999999999999787
14.452,14.814,mc,126,0.3620000000000001
14.944,15.393,exact,1265,0.44899999999999984
15.394,15.978,mc,1265,0.5839999999999996
18.226,63.47,exact,12649,45.244
63.47,87.621,mc,12649,24.150999999999996
6.496,52.394,exact,12649,45.897999999999996
52.395,78.014,mc,12649,25.618999999999993
78.142,78.18,exact,40,0.038000000000010914
78.18,78.546,mc,40,0.36599999999999966
78.66,78.671,exact,126,0.01100000000000989
78.671,79.031,mc,126,0.35999999999999943
79.167,79.616,exact,1265,0.44899999999999807
79.617,80.203,mc,1265,0.5859999999999985
80.525,85.008,exact,4000,4.48299999999999
85.008,87.755,mc,4000,2.747
87.884,87.934,exact,400,0.04999999999999716
87.934,88.316,mc,400,0.382000000000005
4.478,4.905,exact,40,0.4270000000000005
4.906,6.186,mc,40,1.2800000000000002
8.435,54.287,exact,12649,45.852
54.287,78.436,mc,12649,24.149000000000008
78.772,83.203,exact,4000,4.430999999999997
83.203,85.953,mc,4000,2.75
86.10000000000001,86.547,exact,1265,0.4469999999999885
86.547,87.139,mc,1265,0.5919999999999987
87.267,87.319,exact,400,0.05200000000000671
87.319,87.699,mc,400,0.37999999999999545
87.81400000000001,87.824,exact,126,0.009999999999990905
87.825,88.187,mc,126,0.36199999999999477
4.511,5.409,exact,1265,0.8979999999999997
