"nsamp","true","est","time"
20000,-144.768258389734,-199.470948513244,0.489000000000004
20000,-144.768258389734,-182.507240048541,0.486000000000004
20000,-144.768258389734,-186.44427708201,0.5
20000,-144.768258389734,-209.437528742456,0.49199999999999
20000,-144.768258389734,-211.652789960296,0.488
20000,-144.768258389734,-193.30303363951,0.489000000000004
20000,-144.768258389734,-197.662062332668,0.48899999999999
20000,-144.768258389734,-186.30672769369,0.493000000000009
20000,-144.768258389734,-193.240303567828,0.487000000000009
20000,-144.768258389734,-209.277185729421,0.489999999999995
20000,-144.768258389734,-201.339173676468,0.489999999999995
20000,-144.768258389734,-196.779376315544,0.491
20000,-144.768258389734,-185.56154434559,0.489000000000004
20000,-144.768258389734,-199.900440110556,0.489000000000004
20000,-144.768258389734,-187.73504748354,0.491
20000,-144.768258389734,-197.491026716063,0.491
20000,-144.768258389734,-211.03191750489,0.513000000000005
20000,-144.768258389734,-186.99484796605,0.490000000000009
20000,-144.768258389734,-202.202678366074,0.510999999999996
20000,-144.768258389734,-184.428523085148,0.490999999999985
20000,-144.768258389734,-206.461187847191,0.488
20000,-144.768258389734,-186.460821720638,0.490000000000009
